88861092480 642683 0 0 0 0 0 0 1 1
89531826400 578029 0 1 0 0 1 1 0 0
89921978160 608207 0 1 0 1 0 0 0 0
90220394960 762200 0 0 1 1 0 0 0 0
94316653360 897893 0 0 1 1 0 0 0 0
96745120000 631208 0 1 1 1 0 0 0 0
97162771600 714950 0 0 1 1 0 0 0 0
97652396320 518248 0 0 0 1 0 0 1 1
98700083360 541040 1 1 0 0 0 0 0 0
100472925440 553586 0 0 1 0 0 0 1 0
101273822960 598175 1 1 1 0 0 0 0 0
102391338080 836893 0 0 0 0 0 0 1 1
103255252160 629757 0 0 0 0 1 1 0 0
104630265600 578602 0 1 1 1 0 0 0 0
105873983040 747378 0 1 1 1 0 0 0 0
106495791120 653332 0 0 0 0 1 1 0 0
106727012240 660632 0 0 0 0 1 1 0 0
107280211680 601122 1 1 1 1 0 0 0 0
107838980880 503529 0 0 0 0 0 0 1 1
109720202480 692738 0 1 1 0 0 0 0 0
109719215760 553125 0 0 0 1 1 0 0 0
112506223360 616462 1 1 0 0 0 0 1 0
113180608800 747680 0 1 1 1 0 0 0 0
114191980160 585271 0 0 1 1 0 0 0 0
115281946640 558444 1 1 1 1 0 0 0 0
116394286640 626786 0 0 0 0 0 0 1 1
117823980400 604341 1 1 1 1 0 0 0 0
118924185520 614163 1 1 1 0 0 0 0 0
119369274160 557332 1 1 1 0 0 0 0 0
121859401760 656920 0 1 1 1 0 0 0 0
122568916240 612363 0 0 0 0 1 1 0 0
122712018160 724632 0 0 1 0 0 0 1 0
122882692880 580793 1 1 0 0 0 0 0 0
125006829760 515317 0 0 1 1 0 0 0 0
125439246480 763406 1 1 1 0 0 0 1 1
125975270000 511891 0 1 0 0 1 0 0 0
125975269920 793978 0 0 1 1 0 0 0 0
126638985280 539078 0 0 0 0 1 1 0 0
126857083200 682794 0 0 0 0 0 0 1 1
129808434480 606788 0 0 0 1 1 0 0 0
129959128400 697136 1 1 1 1 0 0 0 0
130207761040 563522 0 0 0 0 1 1 0 0
132505179680 644032 0 0 1 1 0 0 0 0
133983740000 588010 1 1 1 1 0 0 0 0
134328415200 657706 1 1 1 1 0 0 0 0
134364100400 607507 0 0 1 1 1 0 0 0
134379248800 575333 0 0 0 1 1 0 0 0
136139802000 750640 1 1 1 1 0 0 0 0
136350185600 675093 1 1 0 0 0 0 0 0
136526710960 549806 1 1 1 0 0 0 0 0
136737033840 618622 1 0 0 0 0 0 1 0
139620939440 641741 0 0 1 1 0 0 0 0
139905274160 694522 1 1 1 0 0 0 0 0
140015595120 660627 1 1 1 1 0 0 0 0
142685768080 586777 0 0 1 1 0 0 1 0
143033051440 574455 1 0 0 1 0 0 0 0
143033051360 680008 0 1 1 0 0 0 0 0
145742144480 682150 1 1 1 1 0 0 0 1
151614248080 678066 1 1 1 1 0 0 0 0
151936035440 683024 1 1 1 1 0 0 0 0
152377707360 676347 1 1 1 1 0 0 0 0
154978471760 553440 1 1 1 1 0 0 0 0
155617960400 542955 1 1 1 1 0 0 0 0
157564894720 640486 0 0 1 1 0 0 0 0
161042933840 564710 0 0 0 0 1 1 0 0
162442021680 768720 1 1 1 0 0 0 0 0
162795880240 593940 1 1 1 0 0 0 0 0
163225372240 547172 0 0 0 0 0 0 1 1
163473691360 712108 0 1 1 1 0 0 0 0
164845259440 552969 1 1 1 1 0 0 0 0
166201361600 754977 0 0 0 0 0 0 1 1
166203443120 879021 1 1 0 0 0 0 0 0
166335371840 549748 1 1 1 1 0 0 0 0
166781584880 711332 1 0 1 0 1 1 0 0
166852863680 654522 0 0 1 1 0 0 0 0
167428594240 575275 1 1 1 1 0 0 0 0
168261328240 561051 1 1 1 1 0 0 0 0
168997709680 506105 1 1 0 0 0 0 0 0
169788160720 557594 1 1 0 0 0 0 0 0
172108603840 624971 1 1 1 1 0 0 0 0
174077208800 565132 1 1 1 1 0 0 0 0
175462237040 759551 0 0 0 0 0 0 1 1
177374932880 557803 1 1 1 1 0 0 0 0
178427832800 661305 1 1 1 1 0 0 0 0
178633681120 1006288 0 1 1 0 0 0 0 0
179840350640 744147 0 1 1 1 0 0 0 0
180076574000 537247 1 1 1 1 0 0 0 0
182862933200 742801 0 0 1 1 0 0 0 0
184019937840 602339 0 0 1 1 0 0 0 0
188035882960 764053 0 0 1 1 0 0 0 0
189359831600 634222 0 0 0 0 1 1 0 0
189441457920 544971 0 0 0 0 1 1 0 0
191269454640 586121 1 0 0 0 1 1 0 0
193651911440 633369 0 1 1 0 1 1 0 0
194549891040 612230 0 1 1 0 0 0 0 0
200067212880 595091 0 0 0 0 1 0 0 1
200828751520 726720 1 1 1 1 0 0 0 0
200836770960 742274 1 1 1 1 0 0 0 0
207455797840 592973 0 0 0 0 0 0 1 1
210777583680 1381067 0 0 1 1 0 0 0 0
212817115440 715949 0 0 0 0 0 0 1 1
214709165360 491657 1 1 0 0 0 0 0 0
217097590480 668979 0 0 0 0 1 1 0 0
218527328080 660074 0 0 1 1 0 0 0 0
218763241680 440843 0 1 0 0 1 0 0 0
219146758480 545249 0 0 1 1 0 0 0 0
220103602880 591989 0 0 0 0 0 0 1 1
220422483280 629780 1 1 1 1 0 0 0 0
223386664080 992518 0 1 1 1 0 0 0 0
223899012400 637087 1 1 1 1 0 0 0 0
227183754080 521087 0 0 0 0 1 1 0 0
230230154080 540131 1 1 1 1 0 0 0 0
231648731680 738600 1 1 1 1 0 0 0 0
231897318240 612206 0 1 1 1 0 0 0 0
235221420240 414044 1 0 1 0 0 0 0 0
236157921920 561660 1 0 0 0 1 1 0 0
239510032000 607862 0 0 0 0 0 0 1 1
241938726240 474983 0 0 0 1 0 1 0 0
242038517920 462585 0 1 0 1 0 0 0 0
242901174400 852059 0 0 1 1 0 0 0 0
243399054960 568245 0 1 1 1 0 0 0 0
246657035040 587774 1 1 1 1 0 0 0 0
247478794640 546381 1 1 0 0 0 0 0 0
247627852080 588553 0 0 1 1 0 0 0 0
248068702400 674937 1 1 1 1 0 0 0 0
250413974960 688045 0 0 0 0 1 1 0 0
250613861600 627728 0 1 0 1 0 0 0 0
251403238480 532787 1 1 0 0 0 0 0 0
253733695200 560858 1 1 0 0 0 0 0 0
255551676000 626604 0 1 1 1 0 0 0 0
256195532320 474223 1 1 0 0 0 0 0 0
257342972080 695319 0 0 0 0 1 1 0 0
257349273200 687592 1 0 0 0 0 0 1 1
258344594480 724669 0 0 0 0 0 0 1 1
260487184720 541293 1 1 0 0 0 0 0 0
260487184640 582727 0 0 1 1 0 0 0 0
262728946000 789572 0 0 0 0 0 0 1 1
263104864880 616270 1 1 1 0 1 0 0 0
263144758560 497061 0 0 0 0 1 1 0 0
263273588800 575499 1 1 1 1 0 0 0 0
263483142640 671370 1 1 0 0 0 0 0 0
263552976560 584181 1 1 1 1 0 0 0 0
264380192480 662362 0 0 0 0 0 0 1 1
268050164880 846540 1 1 1 0 0 0 0 0
268200430480 609151 0 0 1 1 1 0 0 0
272091404720 693234 0 0 0 0 1 1 0 0
273274711280 564314 1 1 1 1 0 0 0 0
275893376480 650374 1 1 1 1 0 0 0 0
275913161440 559975 0 0 0 0 1 1 1 0
276008177760 671674 0 0 0 0 0 0 1 1
276825955360 560253 0 0 1 1 0 0 0 0
278824933760 612476 0 0 0 0 1 0 1 0
281131176560 644518 1 1 1 0 1 0 0 0
281762059680 509252 0 0 0 0 1 1 0 0
282286718320 569716 1 1 0 0 0 0 1 0
